,wavelength,n(d=22043),k(d=22043),P(0)(d=22043),T(0)(d=22043),n(d=373d2),k(d=373d2),R(0)(d=373d2),T(0)(d=373d2),n(d=625343),k(d=625343),R(0)(d=625343),T(0)(d=625343),n,k
0,0.3311,1.89,1.94,0.372,0.136,1.59,1.89,0.408,0.057,1.61,2.15,0.44,0.0057,1.59,1.89
1,0.3425,1.78,2.02,0.382,0.15,1.59,1.96,0.422,0.063,1.6,2.23,0.459,0.0059,1.59,1.96
2,0.3546,1.73,2.12,0.391,0.158,1.58,2.03,0.433,0.066,1.57,2.3,0.477,0.0063,1.58,2.03
3,0.3676,1.73,2.2,0.399,0.159,1.58,2.1,0.444,0.0675,1.52,2.36,0.495,0.0068,1.58,2.1
4,0.3817,1.71,2.31,0.41,0.157,1.59,2.17,0.455,0.067,1.5,2.45,0.515,0.0068,1.59,2.17
5,0.3968,1.71,2.41,0.421,0.155,1.64,2.24,0.465,0.067,1.52,2.54,0.53,0.0068,1.64,2.24
6,0.4132,1.71,2.52,0.432,0.151,1.67,2.32,0.474,0.0665,1.52,2.63,0.547,0.0068,1.67,2.32
7,0.431,1.75,2.64,0.442,0.146,1.74,2.4,0.482,0.0655,1.54,2.73,0.563,0.0068,1.74,2.4
8,0.4505,1.78,2.76,0.453,0.141,1.79,2.48,0.491,0.0645,1.58,2.84,0.576,0.0066,1.79,2.48
9,0.4717,1.82,2.89,0.464,0.137,1.87,2.57,0.5,0.0635,1.63,2.96,0.588,0.0066,1.87,2.57
10,0.495,1.87,3.03,0.474,0.133,1.93,2.67,0.509,0.063,1.65,3.08,0.604,0.0066,1.93,2.67
11,0.5208,1.92,3.18,0.485,0.128,2.0,2.77,0.518,0.0625,1.7,3.21,0.617,0.0066,2.0,2.77
12,0.5495,1.97,3.33,0.495,0.124,2.1,2.88,0.527,0.062,1.75,3.35,0.632,0.0066,2.1,2.88
13,0.5814,2.03,3.49,0.505,0.121,2.15,2.99,0.536,0.062,1.79,3.49,0.644,0.0068,2.15,2.99
14,0.6173,2.07,3.67,0.515,0.119,2.21,3.11,0.544,0.0625,1.79,3.62,0.659,0.0075,2.21,3.11
15,0.6579,2.14,3.87,0.524,0.116,2.26,3.25,0.553,0.063,1.84,3.79,0.673,0.0078,2.26,3.25
16,0.7042,2.2,4.08,0.534,0.114,2.3,3.41,0.562,0.0635,1.9,3.98,0.686,0.008,2.3,3.41
17,0.7576,2.32,4.28,0.539,0.112,2.29,3.57,0.571,0.065,2.02,4.21,0.699,0.0076,2.29,3.57
18,0.8197,2.41,4.53,0.547,0.109,2.34,3.77,0.58,0.066,2.12,4.47,0.713,0.0076,2.34,3.77
19,0.8929,2.51,4.81,0.556,0.107,2.42,3.98,0.588,0.066,2.21,4.73,0.727,0.0078,2.42,3.98
20,0.9803,2.66,5.13,0.564,0.103,2.49,4.23,0.597,0.067,2.29,5.03,0.74,0.0083,2.49,4.23
21,1.087,2.86,5.48,0.572,0.099,2.65,4.51,0.604,0.066,2.42,5.37,0.753,0.0087,2.65,4.51
22,1.219,3.12,5.9,0.579,0.096,2.8,4.84,0.612,0.066,2.59,5.78,0.765,0.0091,2.8,4.84
23,1.389,3.4,6.4,0.588,0.092,2.99,5.24,0.62,0.066,2.75,6.26,0.778,0.0097,2.99,5.24
24,1.613,3.72,7.02,0.596,0.089,3.24,5.73,0.628,0.066,2.94,6.87,0.792,0.0103,3.24,5.73
25,1.923,4.19,7.78,0.603,0.087,3.55,6.35,0.635,0.065,3.4,7.56,0.797,0.0112,3.55,6.35
